Dataset_name,Common_name,Group,Subgroup,Subclade,Other taxonomy,Body_mass_kg,Axial_diameter_mm,SVL_mm,Trans_diameter_mm,Cornea_diameter_mm,Reference,VertLife_name,VertLife_basetree,TimeTree_tiplabel,TimeTree_genus_sub
Sciurus caroliniensis,,Mammals (Mammalia),mammals,Mammalia,,0.49,11.8,NA,NA,NA,Veilleux & Kirk 2014,Sciurus carolinensis,mammaltree,,
Sciurus niger,,Mammals (Mammalia),mammals,Mammalia,,0.76,12,NA,NA,NA,Veilleux & Kirk 2014,Sciurus niger,mammaltree,,
Setonyx brachyurus,,Mammals (Mammalia),mammals,Mammalia,,3.25,10.4,NA,NA,NA,Veilleux & Kirk 2014,Setonix brachyurus,mammaltree,,
Sminthopsis crassicaudata,,Mammals (Mammalia),mammals,Mammalia,,0.015,5.08,NA,NA,NA,Veilleux & Kirk 2014,Sminthopsis crassicaudata,mammaltree,,
Spermophilus beecheyi,,Mammals (Mammalia),mammals,Mammalia,,0.6,9.54,NA,NA,NA,Veilleux & Kirk 2014,Otospermophilus beecheyi,mammaltree,,
Suricata suricatta,,Mammals (Mammalia),mammals,Mammalia,,0.62,10.5,NA,NA,NA,Veilleux & Kirk 2014,Suricata suricatta,mammaltree,,
Sus scrofa ,,Mammals (Mammalia),mammals,Mammalia,,86.78,24.8,NA,NA,NA,Veilleux & Kirk 2014,Sus scrofa,mammaltree,,
Tachyglossus aculeatus,,Mammals (Mammalia),mammals,Mammalia,,3.55,8,NA,NA,NA,Veilleux & Kirk 2014,Tachyglossus aculeatus,mammaltree,,
Taphozous georgianus,,Mammals (Mammalia),mammals,Mammalia,,0.03,3.7,NA,NA,NA,Veilleux & Kirk 2014,Taphozous georgianus,mammaltree,,
Tarsipes rostratus,,Mammals (Mammalia),mammals,Mammalia,,0.009,1.6,NA,NA,NA,Veilleux & Kirk 2014,Tarsipes rostratus,mammaltree,,
Tarsius syrichta,,Mammals (Mammalia),mammals,Mammalia,,0.1,17,NA,NA,NA,Veilleux & Kirk 2014,Tarsius syrichta,mammaltree,,
Trichosurus vulpecula,,Mammals (Mammalia),mammals,Mammalia,,2.93,13.7,NA,NA,NA,Veilleux & Kirk 2014,Trichosurus vulpecula,mammaltree,,
Tupaia belangeri,,Mammals (Mammalia),mammals,Mammalia,,0.16,7.6,NA,NA,NA,Veilleux & Kirk 2014,Tupaia belangeri,mammaltree,,
Tupaia glis,,Mammals (Mammalia),mammals,Mammalia,,0.13,8.7,NA,NA,NA,Veilleux & Kirk 2014,Tupaia glis,mammaltree,,
Acanthodactylus boskianus,,Reptiles (Squamata),lizards,Squamata + Sphenodontidae,,NA,3.45,62.35,NA,1.65,Hall 2008,Acanthodactylus boskianus,squamatetree,,
Acanthodactylus cantoris,,Reptiles (Squamata),lizards,Squamata + Sphenodontidae,,NA,4.12,64.36,NA,2.00,Hall 2008,Acanthodactylus cantoris,squamatetree,,
Acanthodactylus longipes,,Reptiles (Squamata),lizards,Squamata + Sphenodontidae,,NA,2.60,39.30,NA,0.91,Hall 2008,Acanthodactylus longipes,squamatetree,,
Acanthodactylus pardalis,,Reptiles (Squamata),lizards,Squamata + Sphenodontidae,,NA,2.85,61.59,NA,1.09,Hall 2008,Acanthodactylus pardalis,squamatetree,,
Aeluroscolaboten felin,,Reptiles (Squamata),lizards,Squamata + Sphenodontidae,,NA,7.10,101.50,NA,5.80,Hall 2008,Aeluroscalabotes felinus,squamatetree,,
Amblyrynchus cristatus,,Reptiles (Squamata),lizards,Squamata + Sphenodontidae,,NA,7.04,148.15,NA,4.27,Hall 2008,Amblyrhynchus cristatus,squamatetree,,
Ameiva ameiva,,Reptiles (Squamata),lizards,Squamata + Sphenodontidae,,NA,6.80,418.00,NA,3.80,Hall 2008,Ameiva ameiva,squamatetree,,
Anolis trinitatus,,Reptiles (Squamata),lizards,Squamata + Sphenodontidae,,NA,4.00,142.00,NA,2.60,Hall 2008,Anolis trinitatis,squamatetree,,
Aporosaura anchietae,,Reptiles (Squamata),lizards,Squamata + Sphenodontidae,,NA,3.90,50.38,NA,1.29,Hall 2008,Meroles anchietae,squamatetree,,
Basiliscus basiliscus,,Reptiles (Squamata),lizards,Squamata + Sphenodontidae,,NA,7.80,145.00,NA,4.10,Hall 2008,Basiliscus basiliscus,squamatetree,,
Basiliscus vittatus,,Reptiles (Squamata),lizards,Squamata + Sphenodontidae,,NA,7.72,126.35,NA,5.32,Hall 2008,Basiliscus vittatus,squamatetree,,
Brookesia superciliaris,,Reptiles (Squamata),lizards,Squamata + Sphenodontidae,,NA,3.70,42.26,NA,1.68,Hall 2008,Brookesia superciliaris,squamatetree,,
Callisaurus draconoides,,Reptiles (Squamata),lizards,Squamata + Sphenodontidae,,NA,4.39,64.88,NA,2.99,Hall 2008,Callisaurus draconoides,squamatetree,,
Calotes mystaceus,,Reptiles (Squamata),lizards,Squamata + Sphenodontidae,,NA,9.51,80.71,NA,2.15,Hall 2008,Calotes mystaceus,squamatetree,,
Calotes versicolor,,Reptiles (Squamata),lizards,Squamata + Sphenodontidae,,NA,7.61,102.24,NA,3.33,Hall 2008,Calotes versicolor,squamatetree,,
Chalcides ocellatus,,Reptiles (Squamata),lizards,Squamata + Sphenodontidae,,NA,3.17,175.00,NA,1.67,Hall 2008,Chalcides ocellatus,squamatetree,,
Chamaeleo africanus,,Reptiles (Squamata),lizards,Squamata + Sphenodontidae,,NA,7.73,131.62,NA,2.26,Hall 2008,Chamaeleo africanus,squamatetree,,
Chamaeleo bitaeniatus,,Reptiles (Squamata),lizards,Squamata + Sphenodontidae,,NA,5.46,67.20,NA,2.12,Hall 2008,Trioceros bitaeniatus,squamatetree,,
Chamaeleo chamaeleon,,Reptiles (Squamata),lizards,Squamata + Sphenodontidae,,NA,7.39,70.66,NA,2.23,Hall 2008,Chamaeleo chamaeleon,squamatetree,,
Chamaeleo hoehnelli,,Reptiles (Squamata),lizards,Squamata + Sphenodontidae,,NA,5.58,84.66,NA,2.34,Hall 2008,Trioceros hoehnelii,squamatetree,,
Chamaesaura macrolepis,,Reptiles (Squamata),lizards,Squamata + Sphenodontidae,,NA,2.93,125.88,NA,1.73,Hall 2008,Chamaesaura macrolepis,squamatetree,,
Coleonyx elegans,,Reptiles (Squamata),lizards,Squamata + Sphenodontidae,,NA,4.62,82.96,NA,4.51,Hall 2008,Coleonyx elegans,squamatetree,,
Coleonyx variegatus,,Reptiles (Squamata),lizards,Squamata + Sphenodontidae,,NA,2.59,60.40,NA,2.27,Hall 2008,Coleonyx variegatus,squamatetree,,
Cordylus cordylus,,Reptiles (Squamata),lizards,Squamata + Sphenodontidae,,NA,4.25,71.49,NA,2.06,Hall 2008,Cordylus cordylus,squamatetree,,
Cordylus niger,,Reptiles (Squamata),lizards,Squamata + Sphenodontidae,,NA,4.19,72.45,NA,2.21,Hall 2008,Cordylus niger,squamatetree,,
Cordylus polyzonus,,Reptiles (Squamata),lizards,Squamata + Sphenodontidae,,NA,5.33,,NA,2.91,Hall 2008,Karusasaurus polyzonus,squamatetree,,
Crotaphytus bicinctores,,Reptiles (Squamata),lizards,Squamata + Sphenodontidae,,NA,3.32,81.40,NA,2.12,Hall 2008,Crotaphytus bicinctores,squamatetree,,
Crotaphytus collaris,,Reptiles (Squamata),lizards,Squamata + Sphenodontidae,,NA,24.20,357.00,NA,11.40,Hall 2008,Crotaphytus collaris,squamatetree,,
Ctenosaura hemilopha,,Reptiles (Squamata),lizards,Squamata + Sphenodontidae,,NA,6.10,92.47,NA,3.12,Hall 2008,Ctenosaura hemilopha,squamatetree,,
Ctenosaura similes,,Reptiles (Squamata),lizards,Squamata + Sphenodontidae,,NA,7.85,121.12,NA,3.66,Hall 2008,Ctenosaura similis,squamatetree,,
Cyrodactylus louisiadensis,,Reptiles (Squamata),lizards,Squamata + Sphenodontidae,,NA,11.59,137.32,NA,9.35,Hall 2008,Cyrtodactylus louisiadensis,squamatetree,,
Dipsosaurus dorsalis,,Reptiles (Squamata),lizards,Squamata + Sphenodontidae,,NA,6.84,118.05,NA,3.33,Hall 2008,Dipsosaurus dorsalis,squamatetree,,
Dracaena guianensis,,Reptiles (Squamata),lizards,Squamata + Sphenodontidae,,NA,12.01,178.63,NA,6.86,Hall 2008,Dracaena guianensis,squamatetree,,
Draco melanopogon,,Reptiles (Squamata),lizards,Squamata + Sphenodontidae,,NA,5.15,79.74,NA,2.42,Hall 2008,Draco melanopogon,squamatetree,,
Egernia frerei,,Reptiles (Squamata),lizards,Squamata + Sphenodontidae,,NA,6.44,180.93,NA,4.93,Hall 2008,Bellatorias frerei,squamatetree,,
Egernia whitii,,Reptiles (Squamata),lizards,Squamata + Sphenodontidae,,NA,3.44,75.06,NA,2.42,Hall 2008,Liopholis whitii,squamatetree,,
Eremias persica,,Reptiles (Squamata),lizards,Squamata + Sphenodontidae,,NA,4.06,87.83,NA,2.11,Hall 2008,Eremias persica,squamatetree,,
Eublepharus hardwickii,,Reptiles (Squamata),lizards,Squamata + Sphenodontidae,,NA,6.71,100.21,NA,6.31,Hall 2008,Eublepharis hardwickii,squamatetree,,
Eublepharus macularis,,Reptiles (Squamata),lizards,Squamata + Sphenodontidae,,NA,4.55,97.98,NA,4.73,Hall 2008,Eublepharis macularius,squamatetree,,
Eugongylus rufescens,,Reptiles (Squamata),lizards,Squamata + Sphenodontidae,,NA,4.32,55.98,NA,2.81,Hall 2008,Eugongylus rufescens,squamatetree,,
Eumeces schneideri,,Reptiles (Squamata),lizards,Squamata + Sphenodontidae,,NA,4.10,328.00,NA,2.50,Hall 2008,Eumeces schneideri,squamatetree,,
Eumeces skiltonianus,,Reptiles (Squamata),lizards,Squamata + Sphenodontidae,,NA,3.00,72.00,NA,1.80,Hall 2008,Plestiodon skiltonianus,squamatetree,,
Furcifer lateralis,,Reptiles (Squamata),lizards,Squamata + Sphenodontidae,,NA,6.72,76.15,NA,1.81,Hall 2008,Furcifer lateralis,squamatetree,,
Furcifer verrucosus,,Reptiles (Squamata),lizards,Squamata + Sphenodontidae,,NA,6.39,97.01,NA,2.23,Hall 2008,Furcifer verrucosus,squamatetree,,
Gallotia atlantica,,Reptiles (Squamata),lizards,Squamata + Sphenodontidae,,NA,3.51,76.14,NA,1.64,Hall 2008,Gallotia atlantica,squamatetree,,
Gallotia galloti,,Reptiles (Squamata),lizards,Squamata + Sphenodontidae,,NA,4.76,99.37,NA,2.34,Hall 2008,Gallotia galloti,squamatetree,,
Gehyra variegata,,Reptiles (Squamata),lizards,Squamata + Sphenodontidae,,NA,3.33,42.31,NA,3.01,Hall 2008,Gehyra variegata,squamatetree,,
Gekko gecko,,Reptiles (Squamata),lizards,Squamata + Sphenodontidae,,NA,8.38,109.07,NA,7.06,Hall 2008,Gekko gecko,squamatetree,,
Gekko swinhonis,,Reptiles (Squamata),lizards,Squamata + Sphenodontidae,,NA,3.63,52.99,NA,2.62,Hall 2008,Gekko swinhonis,squamatetree,,
Gerrhontus nigroluila,,Reptiles (Squamata),lizards,Squamata + Sphenodontidae,,NA,5.05,91.00,NA,2.55,Hall 2008,,squamatetree,,
Gerrhontus weighmanii,,Reptiles (Squamata),lizards,Squamata + Sphenodontidae,,NA,6.00,112.58,NA,3.26,Hall 2008,,squamatetree,,
Gerrhosaurus major,,Reptiles (Squamata),lizards,Squamata + Sphenodontidae,,NA,6.01,128.38,NA,3.53,Hall 2008,Broadleysaurus major,squamatetree,,
Gerrhosaurus nigrolineatus,,Reptiles (Squamata),lizards,Squamata + Sphenodontidae,,NA,5.07,105.15,NA,2.50,Hall 2008,Gerrhosaurus nigrolineatus,squamatetree,,
Gonatodes ocellatus,,Reptiles (Squamata),lizards,Squamata + Sphenodontidae,,NA,3.43,40.37,NA,2.32,Hall 2008,Gonatodes ocellatus,squamatetree,,
Gonatodes vittatus,,Reptiles (Squamata),lizards,Squamata + Sphenodontidae,,NA,2.83,32.65,NA,1.81,Hall 2008,Gonatodes vittatus,squamatetree,,
Goniocephalus grandis,,Reptiles (Squamata),lizards,Squamata + Sphenodontidae,,NA,7.86,115.59,NA,5.11,Hall 2008,Gonocephalus grandis,squamatetree,,
Heliobolus lugubris,,Reptiles (Squamata),lizards,Squamata + Sphenodontidae,,NA,2.89,44.29,NA,1.51,Hall 2008,Heliobolus lugubris,squamatetree,,
Heloderma horridum,,Reptiles (Squamata),lizards,Squamata + Sphenodontidae,,NA,7.94,549.35,NA,4.20,Hall 2008,Theloderma horridum,squamatetree,,
Heloderma suspectum,,Reptiles (Squamata),lizards,Squamata + Sphenodontidae,,NA,6.00,440.00,NA,3.60,Hall 2008,Heloderma suspectum,squamatetree,,
Hemidactylus mabouia,,Reptiles (Squamata),lizards,Squamata + Sphenodontidae,,NA,4.36,56.36,NA,3.40,Hall 2008,Hemidactylus mabouia,squamatetree,,
Hemidactylus platycephalus,,Reptiles (Squamata),lizards,Squamata + Sphenodontidae,,NA,4.48,71.72,NA,3.18,Hall 2008,Hemidactylus platycephalus,squamatetree,,
Ichnotropis squamulosa,,Reptiles (Squamata),lizards,Squamata + Sphenodontidae,,NA,3.90,70.59,NA,1.59,Hall 2008,Meroles squamulosa,squamatetree,,
Iguana iguana,,Reptiles (Squamata),lizards,Squamata + Sphenodontidae,,NA,9.29,175.48,NA,4.14,Hall 2008,Iguana iguana,squamatetree,,
Lacerta agilis,,Reptiles (Squamata),lizards,Squamata + Sphenodontidae,,NA,4.03,53.85,NA,1.85,Hall 2008,Lacerta agilis,squamatetree,,
Lacerta lepida,,Reptiles (Squamata),lizards,Squamata + Sphenodontidae,,NA,4.63,78.75,NA,2.38,Hall 2008,Timon lepidus,squamatetree,,
Lacerta viridis,,Reptiles (Squamata),lizards,Squamata + Sphenodontidae,,NA,4.69,98.00,NA,2.58,Hall 2008,Lacerta viridis,squamatetree,,
Leiocephalus carinatus,,Reptiles (Squamata),lizards,Squamata + Sphenodontidae,,NA,5.50,92.92,NA,2.88,Hall 2008,Leiocephalus carinatus,squamatetree,,
Leiolepis belliana,,Reptiles (Squamata),lizards,Squamata + Sphenodontidae,,NA,8.98,116.68,NA,4.49,Hall 2008,Leiolepis belliana,squamatetree,,
Lepidodactylus lugubris,,Reptiles (Squamata),lizards,Squamata + Sphenodontidae,,NA,3.26,34.23,NA,2.66,Hall 2008,Lepidodactylus lugubris,squamatetree,,
Lepidophyma gaigeae,,Reptiles (Squamata),lizards,Squamata + Sphenodontidae,,NA,2.49,45.53,NA,1.67,Hall 2008,Lepidophyma gaigeae,squamatetree,,
Lygodactylus picturatus,,Reptiles (Squamata),lizards,Squamata + Sphenodontidae,,NA,3.23,32.46,NA,1.89,Hall 2008,Lygodactylus picturatus,squamatetree,,
Mabuya perrotetii,,Reptiles (Squamata),lizards,Squamata + Sphenodontidae,,NA,5.40,96.05,NA,2.92,Hall 2008,Trachylepis perrotetii,squamatetree,,
Meroles knoxii,,Reptiles (Squamata),lizards,Squamata + Sphenodontidae,,NA,3.42,53.67,NA,1.80,Hall 2008,Meroles knoxii,squamatetree,,
Mesalina guttulata,,Reptiles (Squamata),lizards,Squamata + Sphenodontidae,,NA,2.99,43.98,NA,1.37,Hall 2008,Mesalina guttulata,squamatetree,,
Narudasia festiva,,Reptiles (Squamata),lizards,Squamata + Sphenodontidae,,NA,2.23,28.69,NA,1.72,Hall 2008,Narudasia festiva,squamatetree,,
Naultinus elegans,,Reptiles (Squamata),lizards,Squamata + Sphenodontidae,,NA,5.02,68.50,NA,3.02,Hall 2008,Naultinus elegans,squamatetree,,
Ophisaurus apodus,,Reptiles (Squamata),lizards,Squamata + Sphenodontidae,,NA,7.10,400.00,NA,3.80,Hall 2008,Pseudopus apodus,squamatetree,,
Ophisops sp.,,Reptiles (Squamata),lizards,Squamata + Sphenodontidae,,NA,2.94,43.94,NA,1.76,Hall 2008,,squamatetree,,
Phelsuma astriata,,Reptiles (Squamata),lizards,Squamata + Sphenodontidae,,NA,3.81,42.41,NA,3.82,Hall 2008,Phelsuma astriata,squamatetree,,
Phelsuma laticaudata,,Reptiles (Squamata),lizards,Squamata + Sphenodontidae,,NA,3.59,53.77,NA,2.02,Hall 2008,Phelsuma laticauda,squamatetree,,
Phelsuma madagascariensis,,Reptiles (Squamata),lizards,Squamata + Sphenodontidae,,NA,4.22,81.78,NA,3.02,Hall 2008,Phelsuma madagascariensis,squamatetree,,
Phrynosoma blainvillei,,Reptiles (Squamata),lizards,Squamata + Sphenodontidae,,NA,6.55,119.00,NA,2.20,Hall 2008,Phrynosoma blainvillii,squamatetree,,
Phyllodactylus reissii,,Reptiles (Squamata),lizards,Squamata + Sphenodontidae,,NA,4.60,64.20,NA,3.53,Hall 2008,Phyllodactylus reissii,squamatetree,,
Physignathus longirostris,,Reptiles (Squamata),lizards,Squamata + Sphenodontidae,,NA,5.76,80.72,NA,2.46,Hall 2008,Lophognathus longirostris,squamatetree,,
Platysaurus guttatus,,Reptiles (Squamata),lizards,Squamata + Sphenodontidae,,NA,5.10,102.00,NA,2.10,Hall 2008,Platysaurus guttatus,squamatetree,,
Platysaurus intermedius,,Reptiles (Squamata),lizards,Squamata + Sphenodontidae,,NA,3.78,81.06,NA,2.27,Hall 2008,Platysaurus intermedius,squamatetree,,
Podarcis muralis,,Reptiles (Squamata),lizards,Squamata + Sphenodontidae,,NA,3.24,65.92,NA,1.77,Hall 2008,Podarcis muralis,squamatetree,,
Pristurus carteri,,Reptiles (Squamata),lizards,Squamata + Sphenodontidae,,NA,5.08,61.59,NA,4.66,Hall 2008,Pristurus carteri,squamatetree,,
Ptyodactylus hasselquisti,,Reptiles (Squamata),lizards,Squamata + Sphenodontidae,,NA,4.13,65.39,NA,4.16,Hall 2008,Ptyodactylus hasselquistii,squamatetree,,
Quedenfeldtia moerens,,Reptiles (Squamata),lizards,Squamata + Sphenodontidae,,NA,4.03,43.41,NA,2.49,Hall 2008,Quedenfeldtia moerens,squamatetree,,
Sauromalus ater,,Reptiles (Squamata),lizards,Squamata + Sphenodontidae,,NA,15.76,301.09,NA,8.09,Hall 2008,Sauromalus ater,squamatetree,,
Sauromalus obesus,,Reptiles (Squamata),lizards,Squamata + Sphenodontidae,,NA,7.90,163.00,NA,4.00,Hall 2008,Sauromalus ater,squamatetree,,
Sceloporus grammicus,,Reptiles (Squamata),lizards,Squamata + Sphenodontidae,,NA,8.75,121.72,NA,3.14,Hall 2008,Sceloporus grammicus,squamatetree,,
Sceloporus horridus,,Reptiles (Squamata),lizards,Squamata + Sphenodontidae,,NA,6.28,89.07,NA,2.93,Hall 2008,Sceloporus horridus,squamatetree,,
Sceloporus magister,,Reptiles (Squamata),lizards,Squamata + Sphenodontidae,,NA,6.41,101.17,NA,2.84,Hall 2008,Sceloporus magister,squamatetree,,
Sceloporus oberon,,Reptiles (Squamata),lizards,Squamata + Sphenodontidae,,NA,5.37,83.18,NA,2.62,Hall 2008,Sceloporus jarrovii,squamatetree,,
Sceloporus occident,,Reptiles (Squamata),lizards,Squamata + Sphenodontidae,,NA,4.80,77.00,NA,2.50,Hall 2008,Sceloporus occidentalis,squamatetree,,
Scincus mitranus,,Reptiles (Squamata),lizards,Squamata + Sphenodontidae,,NA,5.15,98.63,NA,2.40,Hall 2008,Scincus mitranus,squamatetree,,
Scincus scincus,,Reptiles (Squamata),lizards,Squamata + Sphenodontidae,,NA,4.10,155.00,NA,2.00,Hall 2008,Scincus scincus,squamatetree,,
Sphaerodactylus anthracinus,,Reptiles (Squamata),lizards,Squamata + Sphenodontidae,,NA,2.49,26.54,NA,1.54,Hall 2008,Sphaerodactylus copei,squamatetree,,
Sphenodon punctatus,,Reptiles (Squamata),lizards,Squamata + Sphenodontidae,,NA,15.73,238.29,NA,9.88,Hall 2008,Sphenodon punctatus,squamatetree,,
Sphenomorphus nigricaudis,,Reptiles (Squamata),lizards,Squamata + Sphenodontidae,,NA,2.54,72.33,NA,2.49,Hall 2008,Glaphyromorphus nigricaudis,squamatetree,,
Takydromis septentrionalis,,Reptiles (Squamata),lizards,Squamata + Sphenodontidae,,NA,3.04,65.99,NA,1.56,Hall 2008,Takydromus septentrionalis,squamatetree,,
Tarentola mauritanica,,Reptiles (Squamata),lizards,Squamata + Sphenodontidae,,NA,4.12,50.27,NA,4.11,Hall 2008,Tarentola mauritanica,squamatetree,,
Tiliqua gigas,,Reptiles (Squamata),lizards,Squamata + Sphenodontidae,,NA,8.01,273.72,NA,4.93,Hall 2008,Tiliqua gigas,squamatetree,,
Tropidurus hispidus,,Reptiles (Squamata),lizards,Squamata + Sphenodontidae,,NA,6.76,119.48,NA,3.25,Hall 2008,Tropidurus hispidus,squamatetree,,
Tupinambis nigropunctatus,,Reptiles (Squamata),lizards,Squamata + Sphenodontidae,,NA,9.00,120.17,NA,5.32,Hall 2008,Tupinambis teguixin,squamatetree,,
Uma exsul,,Reptiles (Squamata),lizards,Squamata + Sphenodontidae,,NA,5.05,83.13,NA,2.42,Hall 2008,Uma exsul,squamatetree,,
Uranscodon superciliosus,,Reptiles (Squamata),lizards,Squamata + Sphenodontidae,,NA,8.79,129.34,NA,4.86,Hall 2008,Uranoscodon superciliosus,squamatetree,,
Uromastix hardwickii,,Reptiles (Squamata),lizards,Squamata + Sphenodontidae,,NA,7.26,157.06,NA,3.19,Hall 2008,Saara hardwickii,squamatetree,,
Uromastix microlepis,,Reptiles (Squamata),lizards,Squamata + Sphenodontidae,,NA,,,NA,2.78,Hall 2008,Uromastyx aegyptia,squamatetree,,
Varanus indicus,,Reptiles (Squamata),lizards,Squamata + Sphenodontidae,,NA,8.05,219.00,NA,4.80,Hall 2008,Varanus indicus,squamatetree,,
Varanus salvator,,Reptiles (Squamata),lizards,Squamata + Sphenodontidae,,NA,13.80,500.00,NA,8.10,Hall 2008,Varanus salvator,squamatetree,,
Xantusia henshawi,,Reptiles (Squamata),lizards,Squamata + Sphenodontidae,,NA,2.97,58.59,NA,3.19,Hall 2008,Xantusia henshawi,squamatetree,,
Xantusia riversiana,,Reptiles (Squamata),lizards,Squamata + Sphenodontidae,,NA,4.91,81.54,NA,3.55,Hall 2008,Xantusia riversiana,squamatetree,,
Xantusia vigilis,,Reptiles (Squamata),lizards,Squamata + Sphenodontidae,,NA,1.75,32.97,NA,1.16,Hall 2008,Xantusia vigilis,squamatetree,,
Amblyrhynchus cristatus,Marine iguana,Reptiles (Squamata),lizards,Squamata,,4.19,8.532,NA,NA,NA,Howland et al. 2004,Amblyrhynchus cristatus,squamatetree,,
Ancistrodon piscivorus,Water moccasin,Reptiles (Squamata),snakes,Squamata,,0.728,7.098,NA,NA,NA,Howland et al. 2004,Agkistrodon piscivorus,squamatetree,,
Boa c. imperator,Boa constrictor,Reptiles (Squamata),snakes,Squamata,,1.829,6.858,NA,NA,NA,Howland et al. 2004,Boa constrictor,squamatetree,,
Iguana iguana,Green iguana,Reptiles (Squamata),lizards,Squamata,,0.75,12.38,NA,NA,NA,Howland et al. 2004,Iguana iguana,squamatetree,,
Natrix natrix,Grass snake,Reptiles (Squamata),snakes,Squamata,,0.023,4,NA,NA,NA,Howland et al. 2004,Natrix natrix,squamatetree,,
Phrynosoma cornutum,Texas horned lizard,Reptiles (Squamata),lizards,Squamata,,0.025,5.811,NA,NA,NA,Howland et al. 2004,Phrynosoma cornutum,squamatetree,,
Python molurus,Burmese python,Reptiles (Squamata),snakes,Squamata,,116.48,7,NA,NA,NA,Howland et al. 2004,Python molurus,squamatetree,,
Tarentola mauritanica,Wall gecko,Reptiles (Squamata),lizards,Squamata,,0.03,4.5,NA,NA,NA,Howland et al. 2004,Tarentola mauritanica,squamatetree,,
Thamnophis melanogaster,Mexican garter snake,Reptiles (Squamata),snakes,Squamata,,0.02,3.5,NA,NA,NA,Howland et al. 2004,Thamnophis melanogaster,squamatetree,,
Thamnophis sirtalis,Common garter snake,Reptiles (Squamata),snakes,Squamata,,0.0184,3.13,NA,NA,NA,Howland et al. 2004,Thamnophis sirtalis,squamatetree,,
Achalinus spinalis,,Reptiles (Squamata),colubrid snakes,Colubridae,,NA,NA,326.4,1.01,NA,Liu et al. 2012,Achalinus spinalis,squamatetree,,
Ahaetulla prasina,,Reptiles (Squamata),colubrid snakes,Colubridae,,NA,NA,860,4.77,NA,Liu et al. 2012,Ahaetulla prasina,squamatetree,,
Amphiesma craspedogaster,,Reptiles (Squamata),colubrid snakes,Colubridae,,NA,NA,385.73,2.9,NA,Liu et al. 2012,Hebius craspedogaster,squamatetree,,
Amphiesma parallelum,,Reptiles (Squamata),colubrid snakes,Colubridae,,NA,NA,403.5,2.66,NA,Liu et al. 2012,Hebius parallelum,squamatetree,,
Amphiesma sauteri,,Reptiles (Squamata),colubrid snakes,Colubridae,,NA,NA,335.08,2.44,NA,Liu et al. 2012,Hebius sauteri,squamatetree,,
Apostolepis breviceps,,Reptiles (Squamata),colubrid snakes,Colubridae,,NA,NA,287,0.7,NA,Liu et al. 2012,Apostolepis breviceps,squamatetree,,
Apostolepis multicincta,,Reptiles (Squamata),colubrid snakes,Colubridae,,NA,NA,333,0.91,NA,Liu et al. 2012,Apostolepis multicincta,squamatetree,,
Atractus bocki,,Reptiles (Squamata),colubrid snakes,Colubridae,,NA,NA,316,1.6,NA,Liu et al. 2012,Atractus bocki,squamatetree,,
Atretium yunnanensis,,Reptiles (Squamata),colubrid snakes,Colubridae,,NA,NA,501,4.05,NA,Liu et al. 2012,Atretium yunnanensis,squamatetree,,
Boiga kraepelini,,Reptiles (Squamata),colubrid snakes,Colubridae,,NA,NA,896.86,4.83,NA,Liu et al. 2012,Boiga kraepelini,squamatetree,,
Boiga multomaculata,,Reptiles (Squamata),colubrid snakes,Colubridae,,NA,NA,611.25,3.18,NA,Liu et al. 2012,Boiga multomaculata,squamatetree,,
Calamaria gialaiensis,,Reptiles (Squamata),colubrid snakes,Colubridae,,NA,NA,420,1.4,NA,Liu et al. 2012,Calamaria gialaiensis,squamatetree,,
Chironius flavolineatus,,Reptiles (Squamata),colubrid snakes,Colubridae,,NA,NA,692.62,4.99,NA,Liu et al. 2012,Chironius flavolineatus,squamatetree,,
Chironius quadricarinatus,,Reptiles (Squamata),colubrid snakes,Colubridae,,NA,NA,633.38,4.81,NA,Liu et al. 2012,Chironius quadricarinatus,squamatetree,,
Clelia langeri,,Reptiles (Squamata),colubrid snakes,Colubridae,,NA,NA,718,3.3,NA,Liu et al. 2012,Clelia langeri,squamatetree,,
Conopsis nasus,,Reptiles (Squamata),colubrid snakes,Colubridae,,NA,NA,245,1.87,NA,Liu et al. 2012,Conopsis nasus,squamatetree,,
Crotaphopeltis hotamboeia,,Reptiles (Squamata),colubrid snakes,Colubridae,,NA,NA,440.6,3.17,NA,Liu et al. 2012,Crotaphopeltis hotamboeia,squamatetree,,
Cyclophiops major,,Reptiles (Squamata),colubrid snakes,Colubridae,,NA,NA,802.5,5.18,NA,Liu et al. 2012,Cyclophiops major,squamatetree,,
Dendrelaphis pictus,,Reptiles (Squamata),colubrid snakes,Colubridae,,NA,NA,763.9,5.02,NA,Liu et al. 2012,Dendrelaphis pictus,squamatetree,,
Dendrelaphis walli,,Reptiles (Squamata),colubrid snakes,Colubridae,,NA,NA,546.25,3.5,NA,Liu et al. 2012,Dendrelaphis walli,squamatetree,,
Dinodon flavozonatum,,Reptiles (Squamata),colubrid snakes,Colubridae,,NA,NA,720.33,2.8,NA,Liu et al. 2012,Lycodon flavozonatus,squamatetree,,
Dinodon rosozonatum,,Reptiles (Squamata),colubrid snakes,Colubridae,,NA,NA,780,3.24,NA,Liu et al. 2012,Lycodon rosozonatus,squamatetree,,
Dinodon rufozonatum,,Reptiles (Squamata),colubrid snakes,Colubridae,,NA,NA,701.5,3.3,NA,Liu et al. 2012,Lycodon rufozonatus,squamatetree,,
